match_id,team_id,from_player_id,from_position,to_player_id,to_position,from_position_x,from_position_y,from_position_encoded
3788742,1835,13215,Midfield,16550,Defender,87.6,8.1,3
3788742,1835,16550,Defender,13215,Midfield,100.3,2.4,0
3788742,776,6797,Defender,3043,Midfield,26.8,80.0,0
3788742,776,3043,Midfield,6797,Defender,33.2,74.4,3
3788742,776,6797,Defender,3959,Defender,27.5,76.6,0
3788742,776,3959,Defender,16554,Defender,16.3,41.6,0
3788742,776,16554,Defender,5536,Forward,42.7,16.7,0
3788742,776,5536,Forward,3043,Midfield,78.2,20.3,1
3788742,776,3043,Midfield,4447,Forward,87.4,50.3,3
3788742,776,4447,Forward,3043,Midfield,98.9,60.5,1
3788742,1835,24321,Midfield,13215,Midfield,53.0,75.6,3
3788742,1835,13215,Midfield,15416,Defender,50.2,70.8,3
3788742,1835,15416,Defender,26939,Defender,62.1,78.7,0
3788742,1835,26939,Defender,13215,Midfield,38.7,73.9,0
3788742,1835,13215,Midfield,24455,Defender,46.3,67.9,3
3788742,1835,24455,Defender,38196,Defender,36.7,36.1,0
3788742,1835,38196,Defender,24455,Defender,42.9,21.4,0
3788742,1835,24455,Defender,38196,Defender,38.2,32.4,0
3788742,1835,38196,Defender,24648,Midfield,39.1,14.7,0
3788742,1835,24648,Midfield,38196,Defender,42.6,24.3,3
3788742,1835,38196,Defender,8667,Goalkeeper,24.3,9.0,0
3788742,776,3959,Defender,6797,Defender,46.9,66.4,0
3788742,1835,15416,Defender,24321,Midfield,7.7,80.0,0
3788742,776,16554,Defender,5536,Forward,110.9,0.1,0
3788742,1835,24321,Midfield,24648,Midfield,2.6,75.6,3
3788742,1835,24648,Midfield,15416,Defender,11.7,72.6,3
3788742,776,16554,Defender,5527,Midfield,51.0,4.1,0
3788742,776,5527,Midfield,3570,Midfield,55.1,11.6,3
3788742,776,3570,Midfield,6797,Defender,50.3,30.6,3
3788742,776,6797,Defender,3959,Defender,64.4,72.2,0
3788742,776,3959,Defender,3570,Midfield,48.5,54.4,0
3788742,776,3570,Midfield,5527,Midfield,48.5,47.1,3
3788742,776,5527,Midfield,5534,Defender,61.3,40.8,3
3788742,776,5534,Defender,16554,Defender,45.2,23.7,0
3788742,776,16554,Defender,5527,Midfield,63.5,2.4,0
3788742,776,5527,Midfield,5536,Forward,72.3,12.4,3
3788742,776,5536,Forward,5527,Midfield,89.0,8.8,1
3788742,776,3043,Midfield,5527,Midfield,120.0,80.0,3
3788742,1835,38196,Defender,8667,Goalkeeper,7.0,36.1,0
3788742,1835,16550,Defender,24648,Midfield,49.8,22.3,0
3788742,1835,38196,Defender,16550,Defender,40.9,23.4,0
3788742,776,5527,Midfield,3959,Defender,52.0,50.3,3
3788742,776,3959,Defender,16554,Defender,42.4,53.7,0
3788742,776,16554,Defender,4447,Forward,71.9,18.2,0
3788742,776,4447,Forward,5527,Midfield,79.7,3.0,1
3788742,776,5527,Midfield,16554,Defender,77.9,15.0,3
3788742,776,16554,Defender,4447,Forward,85.2,10.7,0
3788742,776,4447,Forward,3959,Defender,87.5,0.9,1
3788742,776,3959,Defender,16554,Defender,75.4,18.6,0
3788742,1835,15416,Defender,26939,Defender,41.9,79.2,0
3788742,1835,24321,Midfield,13215,Midfield,66.7,32.9,3
3788742,1835,13215,Midfield,24321,Midfield,63.0,28.9,3
3788742,1835,24321,Midfield,24648,Midfield,61.5,36.1,3
3788742,1835,24648,Midfield,16550,Defender,54.6,30.3,3
3788742,1835,16550,Defender,38196,Defender,44.0,3.0,0
3788742,776,3570,Midfield,4447,Forward,69.0,49.8,3
3788742,776,16554,Defender,3043,Midfield,51.6,40.3,0
3788742,1835,24455,Defender,26939,Defender,55.7,78.7,0
3788742,1835,26939,Defender,24455,Defender,63.6,78.9,0
3788742,1835,24455,Defender,8667,Goalkeeper,43.6,77.8,0
3788742,1835,8667,Goalkeeper,38196,Defender,22.5,52.0,2
3788742,1835,38196,Defender,24455,Defender,22.6,30.6,0
3788742,1835,24455,Defender,8667,Goalkeeper,23.0,67.9,0
3788742,1835,8667,Goalkeeper,24648,Midfield,17.5,44.1,2
3788742,1835,24648,Midfield,8667,Goalkeeper,28.0,50.1,3
3788742,776,5527,Midfield,3570,Midfield,61.6,40.2,3
3788742,776,3570,Midfield,6797,Defender,63.5,60.6,3
3788742,776,5534,Defender,3570,Midfield,32.7,67.0,0
3788742,776,3570,Midfield,3959,Defender,54.8,39.2,3
3788742,776,3959,Defender,16554,Defender,63.1,22.7,0
3788742,776,16554,Defender,4447,Forward,80.6,1.6,0
3788742,776,4447,Forward,3959,Defender,87.6,1.2,1
3788742,776,3959,Defender,3570,Midfield,72.1,8.8,0
3788742,776,3570,Midfield,6797,Defender,65.5,40.3,3
3788742,776,6797,Defender,21261,Forward,81.9,70.8,0
3788742,776,21261,Forward,3570,Midfield,86.6,46.1,1
3788742,776,3570,Midfield,16554,Defender,72.4,42.2,3
3788742,776,5527,Midfield,4447,Forward,51.4,37.4,3
3788742,776,4447,Forward,3043,Midfield,68.8,35.3,1
3788742,776,3043,Midfield,5527,Midfield,95.0,13.0,3
3788742,776,5527,Midfield,16554,Defender,106.5,8.3,3
3788742,776,16554,Defender,3570,Midfield,91.3,12.6,0
3788742,776,3570,Midfield,3959,Defender,73.7,21.3,3
3788742,776,3959,Defender,5534,Defender,49.2,40.8,0
3788742,776,6797,Defender,3959,Defender,63.4,74.9,0
3788742,776,3959,Defender,16554,Defender,47.8,37.5,0
3788742,776,16554,Defender,3570,Midfield,64.0,7.4,0
3788742,776,3570,Midfield,16554,Defender,62.6,28.8,3
3788742,776,16554,Defender,5527,Midfield,89.7,8.1,0
3788742,776,5527,Midfield,16554,Defender,102.9,2.4,3
3788742,776,3043,Midfield,16554,Defender,110.9,4.1,3
3788742,776,3570,Midfield,3043,Midfield,46.1,50.9,3
3788742,776,3043,Midfield,6797,Defender,53.0,47.5,3
3788742,776,6797,Defender,5536,Forward,46.1,71.1,0
3788742,1835,38196,Defender,24455,Defender,81.1,0.1,0
3788742,1835,24455,Defender,38196,Defender,41.8,16.5,0
3788742,776,3570,Midfield,5536,Forward,70.4,73.7,3
3788742,776,5536,Forward,21261,Forward,93.8,77.7,1
3788742,776,5536,Forward,3043,Midfield,102.7,70.6,1
3788742,1835,38196,Defender,13215,Midfield,48.4,0.1,0
3788742,1835,13215,Midfield,38196,Defender,53.0,9.5,3
3788742,1835,38196,Defender,15416,Defender,50.9,3.1,0
3788742,776,16554,Defender,21261,Forward,49.7,0.1,0
3788742,776,21261,Forward,5527,Midfield,66.4,0.2,1
3788742,776,5527,Midfield,6797,Defender,63.0,6.1,3
3788742,776,6797,Defender,5536,Forward,76.8,70.5,0
3788742,776,5536,Forward,3570,Midfield,78.9,78.0,1
3788742,776,3570,Midfield,3043,Midfield,61.7,74.4,3
